rank,batch,fr_infinitive,es_infinitive,link_order,legacy_ids,source_es_text
1,1,être,ser,1,1,"ser, estar"
1,1,être,estar,2,1,"ser, estar"
2,1,avoir,tener,1,2,"tener, haber"
2,1,avoir,haber,2,2,"tener, haber"
3,1,faire,hacer,1,3,hacer
4,1,dire,decir,1,4,decir
5,1,voir,ver,1,5,ver
6,1,prendre,tomar,1,6,"tomar, coger"
6,1,prendre,coger,2,6,"tomar, coger"
7,1,pouvoir,poder,1,7,poder
8,1,parler,hablar,1,8,hablar
9,1,aller,ir,1,9,ir
10,1,savoir,saber,1,10,saber
11,1,donner,dar,1,11,dar
12,1,passer,pasar,1,12,pasar
13,1,mettre,poner,1,13,"poner, meter"
13,1,mettre,meter,2,13,"poner, meter"
14,1,partir,partir,1,14,partir
15,1,trouver,encontrar,1,15,encontrar
16,1,s'en aller,irse,1,16,irse
17,1,rire,reír,1,17,reír
18,1,vivre,vivir,1,18,vivir
19,1,laisser,dejar,1,19,dejar
20,1,rendre,devolver,1,20,"devolver, rendir"
20,1,rendre,rendir,2,20,"devolver, rendir"
21,1,sourire,sonreír,1,21,sonreír
22,1,venir,venir,1,22,venir
23,1,comprendre,comprender,1,23,"comprender, entender"
23,1,comprendre,entender,2,23,"comprender, entender"
24,1,penser,pensar,1,24,pensar
25,1,chercher,buscar,1,25,buscar
26,1,croire,creer,1,26,creer
27,1,entendre,oír,1,27,oír
28,1,tenir,sostener,1,28,"sostener, tener"
28,1,tenir,tener,2,28,"sostener, tener"
29,1,demander,pedir,1,29,"pedir, preguntar"
29,1,demander,preguntar,2,29,"pedir, preguntar"
30,1,se souvenir,recordar,1,"30,33",recordar | acordarse
30,1,se souvenir,acordarse,2,"30,33",recordar | acordarse
31,1,attendre,esperar,1,31,esperar
32,1,sortir,salir,1,32,salir
33,1,regarder,mirar,1,34,mirar
34,1,jouer,jugar,1,35,jugar
35,1,écrire,escribir,1,36,escribir
36,1,connaître,conocer,1,37,"conocer, saber"
36,1,connaître,saber,2,37,"conocer, saber"
37,1,devenir,llegar a ser,1,38,llegar a ser
38,1,mourir,morir,1,39,"morir, fallecer"
38,1,mourir,fallecer,2,39,"morir, fallecer"
39,1,rester,permanecer,1,"40,46",permanecer | quedarse
39,1,rester,quedarse,2,"40,46",permanecer | quedarse
40,1,retrouver,reencontrar,1,41,"reencontrar, encontrar"
40,1,retrouver,encontrar,2,41,"reencontrar, encontrar"
41,1,se convertir,convertirse,1,42,convertirse
42,1,entrer,entrar,1,43,entrar
43,1,manger,comer,1,44,comer
44,1,tomber,caer,1,45,caer
45,1,tirer,tirar,1,47,"tirar, disparar"
45,1,tirer,disparar,2,47,"tirar, disparar"
46,1,lire,leer,1,48,leer
47,1,suivre,seguir,1,49,seguir
48,1,répondre,responder,1,50,"responder, contestar"
48,1,répondre,contestar,2,50,"responder, contestar"
49,1,obtenir,obtener,1,51,"obtener, conseguir"
49,1,obtenir,conseguir,2,51,"obtener, conseguir"
50,1,perdre,perder,1,52,perder
51,2,expliquer,explicar,1,53,explicar
52,2,assurer,asegurar,1,54,asegurar
53,2,servir,servir,1,55,servir
54,2,porter,llevar,1,56,llevar
55,2,montrer,mostrar,1,57,"mostrar, enseñar"
55,2,montrer,enseñar,2,57,"mostrar, enseñar"
56,2,éviter,evitar,1,58,evitar
