ID,FR,FR_group,ES
1,être ,3," ser, estar"
2,avoir ,3," tener, haber"
3,faire ,3, hacer
4,dire ,3, decir
5,voir ,3, ver
6,prendre ,3," tomar, coger"
7,pouvoir ,3, poder
8,parler ,1, hablar
9,aller ,3, ir
10,savoir ,3, saber
11,donner ,1, dar
12,passer ,1, pasar
13,mettre ,3," poner, meter"
14,partir ,3,partir
15,trouver ,1, encontrar
16,s'en aller,3,irse
17,rire ,3, reír
18,vivre ,3, vivir
19,laisser ,1, dejar
20,rendre ,3," devolver, rendir"
21,sourire ,3, sonreír
22,venir ,3, venir
23,comprendre ,3," comprender, entender"
24,penser ,1, pensar
25,chercher ,1, buscar
26,croire ,3, creer
27,entendre ,3, oír
28,tenir ,3," sostener, tener"
29,demander ,1," pedir, preguntar"
30,se souvenir,3,recordar
31,attendre ,3, esperar
32,sortir ,2, salir
33,se souvenir,3,acordarse
34,regarder ,1, mirar
35,jouer ,1, jugar
36,écrire ,3, escribir
37,connaître ,3," conocer, saber"
38,devenir ,3,llegar a ser
39,mourir ,3," morir, fallecer"
40,rester ,1,permanecer
41,retrouver,1," reencontrar, encontrar"
42,se convertir,3,convertirse
43,entrer ,1, entrar
44,manger ,1, comer
45,tomber ,1, caer
46,rester,1,quedarse
47,tirer ,1," tirar, disparar"
48,lire ,3, leer
49,suivre ,3, seguir
50,répondre ,3," responder, contestar"
51,obtenir ,3," obtener, conseguir"
52,perdre ,3, perder
53,expliquer ,1, explicar
54,assurer,1, asegurar
55,servir ,3, servir
56,porter ,1, llevar
57,montrer ,1," mostrar, enseñar"
58,éviter ,1, evitar
59,arriver ,1," llegar, ocurrir"
60,vouloir ,3, querer
61,reconnaître ,3, reconocer
62,monter ,1," subir, montar"
63,boire ,3," beber, tomar"
64,oublier ,1, olvidar
65,poser ,1," poner, colocar"
66,aimer ,1," amar, gustar"
67,arrêter,1," detener, parar"
68,sentir,3," sentir, oler"
69,atteindre ,3," alcanzar, lograr"
70,revenir ,3," volver, regresar"
71,devoir ,3," deber, tener que"
72,changer,1, cambiar
73,dormir ,3, dormir
74,permettre ,3, permitir
75,quitter ,1," dejar, abandonar"
76,reprendre ,3," retomar, reanudar"
77,appeler ,1, llamar
78,dîner,1, cenar
79,apprendre ,3," aprender, enseñar"
80,empêcher ,1, impedir
81,établir ,2, establecer
82,travailler ,1, trabajar
83,garder ,1," guardar, mantener"
84,marcher ,1," caminar, andar"
85,imaginer,1, imaginar
86,considérer ,1, considerar
87,tendre ,3," tender, estirar"
88,lever,1," levantar, alzar"
89,tourner,1, girar
90,gagner ,1, ganar
91,recevoir ,3, recibir
92,revoir ,3," revisar, volver a ver"
93,aider ,1, ayudar
94,créer ,1, crear
95,découvrir ,3, descubrir
96,compter ,1, contar
97,tuer ,1, matar
98,courir ,3, correr
99,rentrer ,1," regresar, volver"
100,réaliser,1,realizar
101,toucher ,1, tocar
102,finir ,2," terminar, acabar"
103,descendre ,3," bajar, descender"
104,ajouter ,1, añadir
105,présenter,1, presentar
106,se rendre compte,1,darse cuenta
107,essayer ,1," intentar, probar"
108,coucher,1,acostar
109,occuper,1, ocupar
110,asseoir,3,sentar
111,jeter ,1," lanzar, tirar"
112,payer ,1, pagar
113,définir ,2, definir
